shipment_id,order_id,carrier,shipping_cost,ship_date,delivery_date
87,12433,UPS,5,2023-05-12,2023-05-18
88,18327,FedEx,33,2023-10-23,2023-10-30
89,2742,BlueDart,18,2023-07-15,2023-07-24
90,7570,FedEx,47,2023-10-28,2023-11-03
91,17286,DHL,18,2023-10-31,2023-11-08
92,35992,UPS,37,2023-12-03,2023-12-06
93,46905,FedEx,29,2023-05-29,2023-06-06
94,28700,FedEx,47,2023-10-27,2023-11-02
95,48654,DHL,50,2023-01-13,2023-01-20
96,2775,DHL,50,2023-12-24,2023-12-29
97,30994,UPS,43,2023-02-17,2023-02-22
98,2784,FedEx,38,2023-03-15,2023-03-22
99,39787,DHL,17,2023-04-21,2023-04-24
100,2828,DHL,49,2023-02-12,2023-02-19
101,37026,UPS,21,2023-04-03,2023-04-12
102,6528,BlueDart,16,2023-03-17,2023-03-24
103,39649,DHL,26,2023-04-27,2023-05-06
104,2662,BlueDart,21,2023-08-01,2023-08-05
105,32463,DHL,46,2023-03-11,2023-03-15
106,38832,DHL,42,2023-09-09,2023-09-16
107,4432,FedEx,5,2023-06-29,2023-07-03
108,40395,UPS,50,2023-07-19,2023-07-22
109,43211,DHL,35,2023-09-30,2023-10-09
110,41933,BlueDart,44,2023-03-12,2023-03-21
111,43954,FedEx,26,2023-06-26,2023-06-29
112,41044,DHL,40,2023-07-16,2023-07-21
113,23337,DHL,24,2023-09-20,2023-09-29
114,39678,UPS,33,2023-04-21,2023-04-30
115,29834,UPS,38,2023-02-27,2023-03-06
116,25292,DHL,5,2023-12-01,2023-12-09
117,11132,BlueDart,27,2023-08-20,2023-08-28
118,30882,FedEx,12,2023-04-25,2023-04-28
119,41341,DHL,31,2023-07-07,2023-07-16
120,18547,DHL,25,2023-10-07,2023-10-15
121,19578,BlueDart,43,2023-10-17,2023-10-27
122,28026,FedEx,38,2023-12-08,2023-12-13
123,43586,FedEx,30,2023-08-22,2023-08-26
124,11123,FedEx,28,2023-06-19,2023-06-28
125,39408,FedEx,50,2023-09-10,2023-09-15
126,26814,FedEx,22,2023-07-11,2023-07-19
127,24772,BlueDart,49,2023-04-24,2023-05-04
128,10134,FedEx,48,2023-06-04,2023-06-08
129,37626,FedEx,24,2023-03-28,2023-03-30
130,4646,FedEx,50,2023-04-26,2023-05-05
131,34158,BlueDart,13,2023-06-02,2023-06-05
132,18829,BlueDart,16,2023-09-06,2023-09-14
133,34451,UPS,45,2023-09-05,2023-09-12
134,15230,FedEx,41,2023-04-11,2023-04-18
135,34518,FedEx,21,2023-11-06,2023-11-12
136,32402,BlueDart,33,2023-06-27,2023-07-04
137,34564,UPS,47,2023-06-10,2023-06-15
138,23670,FedEx,44,2023-06-06,2023-06-16
139,18114,FedEx,40,2023-01-18,2023-01-26
140,684,DHL,16,2023-11-02,2023-11-11
141,21342,UPS,32,2023-04-25,2023-05-05
142,21723,BlueDart,50,2023-04-24,2023-04-26
143,16546,FedEx,28,2023-03-21,2023-03-26
144,24747,UPS,49,2023-04-08,2023-04-10
145,9463,UPS,19,2023-06-20,2023-06-28
146,4475,UPS,19,2023-07-09,2023-07-16
147,21759,UPS,32,2023-10-03,2023-10-09
148,22983,BlueDart,15,2023-08-03,2023-08-09
149,43531,DHL,13,2023-05-15,2023-05-21
150,19022,BlueDart,46,2023-06-17,2023-06-22
151,38686,FedEx,11,2023-10-28,2023-11-04
152,49351,FedEx,5,2023-05-02,2023-05-09
153,46,FedEx,17,2023-05-28,2023-06-03
154,26351,BlueDart,21,2023-05-01,2023-05-06
155,41321,FedEx,18,2023-10-31,2023-11-04
156,46859,FedEx,15,2023-01-15,2023-01-22
157,20473,DHL,15,2023-07-05,2023-07-13
158,48685,UPS,11,2023-03-08,2023-03-11
159,36930,UPS,36,2023-02-26,2023-03-04
160,31956,BlueDart,22,2023-06-22,2023-06-30
161,32572,UPS,44,2023-04-09,2023-04-16
162,8613,DHL,18,2023-04-23,2023-04-28
163,13477,BlueDart,15,2023-02-08,2023-02-12
164,10630,BlueDart,28,2023-01-14,2023-01-24
165,19296,BlueDart,34,2023-06-13,2023-06-21
166,46403,BlueDart,6,2023-05-26,2023-05-30
167,566,FedEx,18,2023-06-02,2023-06-06
168,43041,FedEx,30,2023-10-12,2023-10-22
169,43041,UPS,43,2023-04-28,2023-05-04
170,36016,UPS,13,2023-05-10,2023-05-13
171,44502,UPS,12,2023-03-20,2023-03-28
172,34323,FedEx,10,2023-12-21,2023-12-26
173,3785,BlueDart,17,2023-03-05,2023-03-12
174,40601,DHL,19,2023-02-10,2023-02-15
175,38978,UPS,5,2023-07-14,2023-07-16
176,26263,FedEx,30,2023-02-01,2023-02-11
177,31980,FedEx,6,2023-07-07,2023-07-12
178,39433,FedEx,33,2023-04-27,2023-05-02
179,40160,DHL,41,2023-07-27,2023-08-06
180,33111,DHL,19,2023-10-15,2023-10-22
181,43126,UPS,35,2023-05-06,2023-05-09
182,19776,DHL,8,2023-05-15,2023-05-24
183,360,UPS,29,2023-08-02,2023-08-12
184,37990,BlueDart,25,2023-02-22,2023-03-03
185,36408,BlueDart,21,2023-08-23,2023-08-31
186,27783,UPS,34,2023-05-04,2023-05-10
187,35336,UPS,42,2023-08-17,2023-08-24
188,24371,FedEx,17,2023-03-11,2023-03-13
189,6963,FedEx,40,2023-01-26,2023-01-30
190,10774,BlueDart,18,2023-08-06,2023-08-15
191,20881,UPS,23,2023-11-12,2023-11-21
192,37793,DHL,40,2023-01-10,2023-01-12
193,40344,UPS,23,2023-03-31,2023-04-05
194,33951,FedEx,37,2023-12-11,2023-12-14
195,22741,DHL,18,2023-09-03,2023-09-08
196,42389,BlueDart,46,2023-03-25,2023-03-31
197,37668,FedEx,7,2023-02-02,2023-02-12
198,1465,DHL,38,2023-07-09,2023-07-12
199,36794,FedEx,15,2023-07-21,2023-07-27
200,26291,BlueDart,34,2023-06-25,2023-07-05
201,40420,DHL,40,2023-09-29,2023-10-08
202,25028,FedEx,35,2023-09-28,2023-10-06
203,28721,FedEx,37,2023-03-10,2023-03-13
204,40535,FedEx,44,2023-08-30,2023-09-03
205,22241,DHL,46,2023-03-05,2023-03-09
206,49736,DHL,11,2023-07-21,2023-07-26
207,8477,FedEx,9,2023-06-12,2023-06-15
208,3526,UPS,34,2023-06-18,2023-06-25
209,48611,BlueDart,40,2023-04-10,2023-04-18
210,39135,BlueDart,24,2023-06-15,2023-06-25
211,41723,UPS,48,2023-11-28,2023-12-02
212,27680,BlueDart,7,2023-12-07,2023-12-12
213,45577,DHL,5,2023-04-01,2023-04-11
214,9848,UPS,5,2023-03-20,2023-03-27
215,48942,UPS,42,2023-08-11,2023-08-13
216,47266,FedEx,6,2023-11-27,2023-12-05
217,5033,UPS,44,2023-08-28,2023-09-07
218,47915,DHL,32,2023-02-28,2023-03-06
219,33346,DHL,44,2023-11-27,2023-11-29
220,26686,FedEx,26,2023-03-19,2023-03-23
221,40744,FedEx,6,2023-04-13,2023-04-15
222,47987,UPS,44,2023-07-21,2023-07-26
223,9121,DHL,17,2023-03-28,2023-04-06
224,17986,DHL,30,2023-11-13,2023-11-21
225,41612,FedEx,50,2023-02-13,2023-02-19
226,45912,DHL,43,2023-10-19,2023-10-21
227,22018,UPS,5,2023-07-30,2023-08-05
228,13827,BlueDart,19,2023-09-27,2023-09-30
229,9737,FedEx,35,2023-02-25,2023-03-03
230,33624,BlueDart,12,2023-01-10,2023-01-16
231,13572,UPS,15,2023-04-03,2023-04-11
232,26688,UPS,39,2023-01-24,2023-01-28
233,27784,DHL,24,2023-11-23,2023-11-28
234,35730,UPS,15,2023-02-08,2023-02-10
235,38286,UPS,40,2023-11-30,2023-12-10
236,18600,BlueDart,48,2023-09-15,2023-09-24
237,47822,FedEx,46,2023-12-24,2023-12-27
238,37621,FedEx,50,2023-02-26,2023-03-05
239,6770,UPS,12,2024-01-01,2024-01-10
240,18257,BlueDart,16,2023-05-31,2023-06-03
241,42883,FedEx,28,2023-01-15,2023-01-21
242,11767,UPS,31,2023-06-21,2023-06-29
243,34543,BlueDart,7,2023-06-15,2023-06-20
244,43035,DHL,46,2023-07-28,2023-07-31
245,32654,BlueDart,41,2023-11-09,2023-11-18
246,47771,DHL,27,2023-02-14,2023-02-19
247,30354,BlueDart,28,2023-09-11,2023-09-14
248,27012,DHL,50,2023-04-13,2023-04-18
249,32812,UPS,17,2023-08-13,2023-08-19
250,20416,FedEx,49,2023-06-08,2023-06-14
251,21211,FedEx,6,2023-05-17,2023-05-24
252,46322,FedEx,11,2023-09-08,2023-09-14
253,37594,FedEx,31,2023-08-14,2023-08-20
254,49247,BlueDart,45,2023-02-24,2023-02-27
255,49999,BlueDart,22,2023-12-29,2024-01-06
256,41680,BlueDart,24,2023-10-15,2023-10-25
257,48410,UPS,6,2023-08-22,2023-08-27
258,16660,UPS,6,2023-09-27,2023-10-05
259,8922,DHL,8,2023-02-27,2023-03-01
260,31262,FedEx,32,2023-12-15,2023-12-20
261,5628,DHL,7,2023-08-07,2023-08-10
262,33447,DHL,30,2023-02-20,2023-02-25
263,38545,FedEx,38,2023-05-08,2023-05-12
264,10055,UPS,44,2023-02-14,2023-02-19
265,38349,FedEx,26,2023-01-15,2023-01-24
266,46555,BlueDart,20,2023-02-12,2023-02-18
267,6488,FedEx,31,2023-07-03,2023-07-08
268,28235,FedEx,8,2023-06-25,2023-07-04
269,13116,FedEx,6,2023-02-10,2023-02-17
270,45360,FedEx,19,2023-05-15,2023-05-18
271,33809,DHL,7,2023-08-12,2023-08-14
272,9443,BlueDart,25,2023-07-03,2023-07-08
273,21332,UPS,9,2023-03-01,2023-03-07
274,46782,UPS,7,2023-06-01,2023-06-08
275,20063,FedEx,8,2023-09-29,2023-10-03
276,20206,DHL,15,2023-06-16,2023-06-20
277,12558,UPS,29,2023-07-15,2023-07-18
278,24087,FedEx,9,2023-12-26,2023-12-30
279,24773,DHL,29,2023-07-10,2023-07-18
280,23575,UPS,44,2023-06-25,2023-06-29
281,40219,DHL,24,2023-09-28,2023-10-03
282,13275,BlueDart,17,2023-01-27,2023-02-01
283,8702,BlueDart,6,2023-09-06,2023-09-10
284,24853,BlueDart,6,2023-03-29,2023-03-31
285,47840,UPS,34,2023-06-25,2023-06-28
286,48115,UPS,21,2023-08-04,2023-08-12
287,25576,UPS,46,2023-01-05,2023-01-15
288,40102,DHL,41,2023-10-27,2023-10-31
289,4616,DHL,33,2023-08-07,2023-08-15
290,46142,BlueDart,43,2023-02-13,2023-02-15
291,4808,BlueDart,45,2023-07-11,2023-07-14
292,8894,UPS,20,2023-07-24,2023-08-01
293,1964,DHL,21,2023-06-15,2023-06-19
294,18899,BlueDart,41,2023-06-20,2023-06-28
295,21263,FedEx,39,2023-12-13,2023-12-18
296,31321,UPS,14,2023-09-18,2023-09-22
297,14356,BlueDart,10,2023-10-06,2023-10-12
298,30638,FedEx,25,2023-02-05,2023-02-09
299,411,DHL,44,2023-05-17,2023-05-19
300,31530,FedEx,45,2023-06-05,2023-06-10
301,16874,FedEx,32,2023-07-22,2023-07-27
302,40097,FedEx,43,2023-07-09,2023-07-11
303,4364,BlueDart,15,2023-10-29,2023-11-03
304,12565,DHL,33,2023-04-12,2023-04-17
305,1369,UPS,38,2023-10-09,2023-10-12
306,47431,UPS,46,2023-10-22,2023-10-26
307,30052,FedEx,35,2023-01-24,2023-02-01
308,16317,FedEx,37,2023-11-03,2023-11-12
309,371,UPS,20,2023-10-13,2023-10-15
310,18562,BlueDart,39,2023-07-02,2023-07-04
311,39939,BlueDart,15,2023-05-13,2023-05-17
312,29802,BlueDart,12,2023-12-21,2023-12-25
313,931,FedEx,22,2023-01-21,2023-01-30
314,29165,UPS,48,2023-09-29,2023-10-04
315,45373,FedEx,10,2023-07-02,2023-07-10
316,40013,FedEx,42,2023-01-12,2023-01-21
317,25999,BlueDart,37,2023-05-22,2023-05-30
318,6009,DHL,27,2023-06-09,2023-06-16
319,33565,BlueDart,46,2023-08-02,2023-08-07
320,20454,BlueDart,18,2023-02-16,2023-02-25
321,13625,DHL,43,2023-02-21,2023-02-27
322,41873,FedEx,45,2023-06-03,2023-06-08
323,31121,FedEx,45,2023-07-03,2023-07-10
324,18677,FedEx,24,2023-08-10,2023-08-16
325,28650,FedEx,12,2023-09-01,2023-09-09
326,18923,FedEx,19,2023-02-02,2023-02-08
327,3774,DHL,37,2023-07-12,2023-07-16
328,22053,UPS,48,2023-08-09,2023-08-13
329,24954,UPS,29,2023-12-08,2023-12-16
330,11752,DHL,14,2023-01-03,2023-01-13
331,35693,UPS,21,2023-10-06,2023-10-09
332,31759,DHL,37,2023-04-05,2023-04-13
333,29060,DHL,17,2023-03-03,2023-03-07
334,29020,UPS,29,2023-05-17,2023-05-27
335,29850,BlueDart,29,2023-07-10,2023-07-17
336,25014,FedEx,15,2023-12-24,2024-01-03
337,27847,DHL,31,2023-06-11,2023-06-15
338,18998,FedEx,7,2023-12-31,2024-01-07
339,27092,DHL,39,2023-02-06,2023-02-10
340,43241,BlueDart,26,2023-04-07,2023-04-15
341,48666,BlueDart,47,2023-11-26,2023-12-05
342,5074,BlueDart,15,2023-06-10,2023-06-20
343,30070,FedEx,10,2023-04-21,2023-04-26
344,25885,DHL,29,2023-08-16,2023-08-19
345,35829,FedEx,34,2023-12-28,2023-12-31
346,325,UPS,45,2023-05-03,2023-05-09
347,18632,FedEx,33,2023-11-27,2023-12-03
348,9783,FedEx,27,2023-12-15,2023-12-22
349,42292,UPS,31,2023-12-05,2023-12-14
350,7916,FedEx,40,2023-12-06,2023-12-11
351,24627,FedEx,13,2023-07-21,2023-07-30
352,13471,UPS,27,2023-07-05,2023-07-11
353,20781,BlueDart,23,2023-10-15,2023-10-23
354,43286,UPS,48,2023-01-25,2023-01-28
355,12495,UPS,50,2023-01-11,2023-01-16
356,28498,BlueDart,12,2023-04-25,2023-04-27
357,3409,BlueDart,16,2023-11-10,2023-11-12
358,5156,DHL,12,2023-07-11,2023-07-14
359,27895,UPS,9,2023-03-30,2023-04-09
360,6150,UPS,48,2023-11-25,2023-12-04
361,39996,DHL,44,2023-05-20,2023-05-25
362,17275,FedEx,15,2023-02-15,2023-02-25
363,47078,FedEx,42,2023-03-18,2023-03-21
364,36164,DHL,15,2023-10-06,2023-10-08
365,37442,UPS,9,2023-09-14,2023-09-20
366,27556,BlueDart,38,2024-01-01,2024-01-08
367,38530,DHL,50,2023-07-30,2023-08-04
368,28641,UPS,21,2023-09-30,2023-10-07
369,19860,FedEx,22,2023-01-13,2023-01-23
370,30188,UPS,11,2023-01-02,2023-01-11
371,35598,UPS,7,2023-05-12,2023-05-22
372,16611,UPS,17,2023-01-26,2023-01-31
373,21088,DHL,22,2023-08-09,2023-08-13
374,44816,DHL,27,2023-11-21,2023-11-23
375,47746,BlueDart,19,2023-10-31,2023-11-06
376,49498,UPS,48,2023-01-03,2023-01-11
377,21670,UPS,11,2023-12-21,2023-12-26
378,15440,BlueDart,5,2023-11-14,2023-11-17
379,41893,UPS,46,2023-09-04,2023-09-12
380,30161,FedEx,7,2023-06-28,2023-07-06
381,8742,FedEx,15,2023-07-24,2023-07-26
382,17178,DHL,46,2023-06-01,2023-06-04
383,17471,DHL,40,2023-02-07,2023-02-09
384,7084,UPS,27,2023-05-29,2023-06-04
385,33790,DHL,8,2023-12-11,2023-12-13
386,35511,DHL,18,2023-11-05,2023-11-11
387,1069,UPS,37,2023-05-31,2023-06-07
388,17514,FedEx,30,2023-02-19,2023-02-25
389,2333,UPS,23,2023-06-21,2023-06-29
390,38561,BlueDart,20,2023-11-01,2023-11-05
391,3495,UPS,7,2023-05-28,2023-06-05
392,35675,UPS,26,2023-12-12,2023-12-16
393,7362,FedEx,25,2023-05-21,2023-05-23
394,35963,FedEx,33,2023-01-16,2023-01-23
395,12531,DHL,12,2023-09-28,2023-10-05
396,8796,UPS,40,2023-12-17,2023-12-21
397,43472,DHL,22,2023-08-30,2023-09-01
398,18021,BlueDart,23,2023-10-01,2023-10-04
399,37282,UPS,39,2023-12-17,2023-12-22
400,33069,BlueDart,45,2024-01-01,2024-01-05
401,16790,UPS,15,2023-12-31,2024-01-03
402,32072,FedEx,8,2023-08-06,2023-08-12
403,18559,BlueDart,14,2023-04-30,2023-05-03
404,9119,UPS,19,2023-10-06,2023-10-15
405,32716,UPS,25,2023-01-14,2023-01-19
406,7160,DHL,43,2023-01-29,2023-02-07
407,12192,BlueDart,20,2023-06-03,2023-06-06
408,31555,DHL,50,2023-07-28,2023-08-07
409,5054,FedEx,14,2023-12-01,2023-12-07
410,41718,FedEx,47,2023-06-01,2023-06-09
411,16384,UPS,29,2023-08-02,2023-08-12
412,27802,BlueDart,12,2023-10-24,2023-10-26
413,32865,UPS,26,2023-03-19,2023-03-22
414,18278,FedEx,43,2023-08-15,2023-08-25
415,45426,FedEx,39,2023-03-31,2023-04-08
416,48158,BlueDart,9,2023-03-13,2023-03-18
417,20966,FedEx,6,2023-08-26,2023-09-01
418,36147,UPS,38,2023-12-14,2023-12-18
419,43303,UPS,20,2023-12-20,2023-12-26
420,8025,FedEx,42,2023-11-03,2023-11-06
421,3337,BlueDart,40,2023-11-28,2023-12-05
422,14609,FedEx,30,2023-04-06,2023-04-14
423,30724,BlueDart,23,2023-12-03,2023-12-11
424,207,DHL,50,2023-12-13,2023-12-20
425,29476,UPS,20,2023-09-29,2023-10-02
426,12531,DHL,22,2023-01-23,2023-01-31
427,30391,UPS,15,2023-05-09,2023-05-19
428,22090,DHL,10,2023-07-06,2023-07-08
429,3986,DHL,9,2023-08-14,2023-08-24
430,19318,FedEx,50,2023-10-03,2023-10-07
431,21256,BlueDart,26,2023-08-31,2023-09-03
432,23336,UPS,22,2023-03-27,2023-03-31
433,2202,BlueDart,40,2023-04-18,2023-04-21
434,15687,FedEx,29,2023-02-08,2023-02-10
435,33566,DHL,19,2023-10-27,2023-11-02
436,15234,UPS,48,2023-01-31,2023-02-08
437,27526,BlueDart,5,2023-05-24,2023-06-01
438,2733,UPS,14,2023-09-29,2023-10-03
439,27508,FedEx,14,2023-05-02,2023-05-06
440,15835,DHL,16,2023-07-08,2023-07-13
441,49579,DHL,41,2023-12-08,2023-12-15
442,16363,BlueDart,32,2023-05-19,2023-05-24
443,16003,DHL,36,2023-12-02,2023-12-08
444,48394,DHL,27,2023-02-10,2023-02-13
445,13841,UPS,22,2023-05-19,2023-05-24
446,31255,UPS,18,2023-10-23,2023-10-29
447,4780,UPS,44,2023-10-05,2023-10-14
448,22314,BlueDart,35,2023-06-29,2023-07-02
449,7509,UPS,20,2023-12-21,2023-12-27
450,38654,FedEx,25,2023-12-09,2023-12-16
451,17177,DHL,19,2023-07-04,2023-07-08
452,17873,BlueDart,46,2023-06-01,2023-06-03
453,24072,BlueDart,8,2023-09-21,2023-09-29
454,25887,BlueDart,29,2023-11-12,2023-11-15
455,8380,DHL,9,2023-01-04,2023-01-07
456,42337,DHL,10,2023-11-16,2023-11-21
457,33759,BlueDart,34,2023-08-31,2023-09-04
458,8598,DHL,33,2023-09-17,2023-09-21
459,44398,UPS,41,2023-01-12,2023-01-14
460,37396,DHL,22,2023-10-11,2023-10-13
461,35133,UPS,5,2023-12-12,2023-12-16
462,29208,BlueDart,50,2023-07-11,2023-07-15
463,175,DHL,22,2023-12-10,2023-12-13
464,44337,UPS,47,2023-08-27,2023-09-06
465,49798,BlueDart,41,2023-02-11,2023-02-21
466,22053,DHL,43,2023-03-12,2023-03-21
467,20521,BlueDart,41,2023-03-15,2023-03-23
468,7576,BlueDart,18,2023-06-03,2023-06-11
469,3494,UPS,21,2023-12-02,2023-12-09
470,12074,FedEx,48,2023-03-21,2023-03-24
471,31782,FedEx,34,2023-06-20,2023-06-24
472,30792,FedEx,18,2023-08-26,2023-08-30
473,11589,UPS,8,2023-08-10,2023-08-14
474,44376,DHL,46,2023-11-03,2023-11-12
475,14842,UPS,23,2023-12-15,2023-12-20
476,2207,BlueDart,38,2023-03-30,2023-04-06
477,20819,BlueDart,15,2023-11-17,2023-11-26
478,48972,FedEx,18,2023-03-22,2023-03-30
479,31173,FedEx,13,2023-06-02,2023-06-04
480,23541,UPS,50,2023-06-12,2023-06-21
481,17674,UPS,18,2023-11-13,2023-11-19
482,7982,BlueDart,10,2023-06-21,2023-06-29
483,48128,BlueDart,27,2023-07-06,2023-07-15
484,29076,BlueDart,33,2023-07-27,2023-07-30
485,2446,UPS,47,2023-08-07,2023-08-12
486,46111,UPS,7,2023-04-26,2023-05-06
487,11153,FedEx,37,2023-07-06,2023-07-09
488,39705,UPS,48,2023-01-03,2023-01-13
489,14034,UPS,11,2023-05-11,2023-05-20
490,38903,BlueDart,23,2023-09-19,2023-09-29
491,14656,UPS,33,2023-09-16,2023-09-24
492,5761,DHL,23,2023-09-14,2023-09-24
493,26736,UPS,21,2023-09-05,2023-09-14
494,8809,UPS,5,2023-08-05,2023-08-11
495,13563,DHL,34,2023-03-06,2023-03-10
496,36763,BlueDart,50,2023-04-03,2023-04-08
497,41756,DHL,47,2023-11-09,2023-11-12
498,11408,UPS,35,2023-02-06,2023-02-08
499,44414,BlueDart,24,2023-06-27,2023-07-07
500,18792,BlueDart,21,2023-02-24,2023-03-02
501,23778,DHL,42,2023-12-09,2023-12-17
502,23586,DHL,9,2023-07-21,2023-07-30
503,16914,BlueDart,17,2023-12-15,2023-12-21
504,26797,DHL,30,2023-07-11,2023-07-18
505,43175,BlueDart,35,2023-12-26,2024-01-03
506,25725,DHL,43,2023-05-15,2023-05-25
507,45338,BlueDart,39,2023-10-31,2023-11-03
508,22605,DHL,20,2023-12-09,2023-12-12
509,8922,UPS,34,2023-02-13,2023-02-18
510,24379,UPS,11,2023-08-25,2023-09-02
511,24897,DHL,24,2023-05-14,2023-05-19
512,15796,UPS,26,2024-01-01,2024-01-11
513,4543,BlueDart,17,2023-07-27,2023-08-05
514,48076,FedEx,18,2023-10-16,2023-10-23
515,37998,UPS,50,2023-09-24,2023-09-27
516,19703,FedEx,32,2023-09-18,2023-09-28
517,47843,UPS,26,2023-05-21,2023-05-31
518,734,UPS,49,2023-11-16,2023-11-22
519,38923,BlueDart,13,2023-10-26,2023-10-30
520,46440,BlueDart,25,2023-03-22,2023-03-24
521,49047,DHL,15,2023-03-21,2023-03-30
522,4562,FedEx,32,2023-11-10,2023-11-19
523,9817,FedEx,27,2023-05-11,2023-05-19
524,49138,FedEx,38,2023-09-12,2023-09-22
525,18378,DHL,39,2023-04-12,2023-04-14
526,28859,FedEx,34,2023-11-29,2023-12-01
527,41708,FedEx,12,2023-02-05,2023-02-10
528,557,BlueDart,48,2023-10-09,2023-10-18
529,2231,UPS,11,2023-07-22,2023-07-31
530,3248,UPS,25,2023-12-17,2023-12-25
531,7135,DHL,6,2023-07-15,2023-07-25
532,49406,UPS,19,2023-10-26,2023-10-29
533,19649,BlueDart,10,2023-03-12,2023-03-15
534,31056,DHL,39,2023-09-07,2023-09-17
535,38318,BlueDart,31,2023-01-03,2023-01-11
536,40127,UPS,41,2023-06-27,2023-07-04
537,30226,UPS,16,2023-01-13,2023-01-20
538,26058,UPS,29,2023-01-03,2023-01-09
539,10650,DHL,39,2023-04-24,2023-05-03
540,25709,FedEx,20,2023-08-24,2023-08-30
541,33016,FedEx,14,2023-08-11,2023-08-18
542,48466,BlueDart,12,2023-09-28,2023-10-06
